generation,max_fitness,mean_fitness,min_fitness,std_fitness,mean_links,max_links
0,8.037405974606756,3.8029793982922,2.5000898675159657,1.3811296685332362,6.033333333333333,13
1,8.037405974606756,3.5761909390489084,2.499828371748734,1.4451681498756614,5.733333333333333,13
2,8.037405974606756,3.798186879509795,0.0,1.7659123048815646,6.4,13
3,8.037405974606756,4.443843191458772,2.4998309064809416,1.6123085314273895,6.133333333333334,24
4,8.037405974606756,4.17911761714064,2.499826388888889,1.8691111621594547,6.8,40
5,8.037405974606756,4.2882179152242985,2.499826388888889,1.5887694632299902,6.666666666666667,28
6,8.037405974606756,4.00048498665097,0.0,1.7639745048749866,7.5,37
7,8.037405974606756,4.163487922263133,2.4999185518846883,1.7473595187056725,7.933333333333334,25
8,8.361487949973784,4.392458593778418,2.4999185518846883,1.9472930678507707,7.1,37
9,8.361487949973784,4.272133900694943,0.0,2.1672040778468675,7.433333333333334,43
10,8.361487949973784,4.338091768268842,2.4999223962431163,1.933578579078823,5.466666666666667,13
11,8.361487949973784,4.08764477322653,0.0,2.0629569235501246,5.266666666666667,13
12,8.562969216043827,5.085121113355333,2.5063925352542595,2.017960399537442,6.733333333333333,40
13,8.562969216043827,4.159348206079723,0.0,2.0239550498056387,4.833333333333333,16
14,8.562969216043827,4.377993876396041,0.0,2.0288060987344445,4.833333333333333,22
15,8.562969216043827,4.591350129146702,2.499826388888889,1.7169258892293071,4.0,16
16,8.562969216043827,4.594143011123426,2.499826388888889,1.7154893867460572,3.3666666666666667,13
17,8.562969216043827,5.500482015756121,2.514812838387747,1.7472093556359378,4.233333333333333,13
18,8.568431467966958,5.517203144748425,2.500025742119959,1.7632768012393512,4.633333333333334,13
19,8.568431467966958,4.998187932067166,0.0,2.2341828753500095,3.966666666666667,31
20,8.568431467966958,4.994353727033685,2.499826388888889,1.819029150562284,2.6666666666666665,7
21,8.568431467966958,5.207159329416186,2.499826388888889,1.931621845137434,2.6,13
22,8.568431467966958,4.9977109530859956,2.499826388888889,1.8850976772220853,2.1666666666666665,7
23,8.570450304286561,5.716511124728186,2.499826388888889,1.8441434314022005,2.2,7
24,8.570450304286561,5.137745553213589,2.499826388888889,1.858137421134209,2.6333333333333333,10
25,8.570450304286561,5.367150826954113,2.500377254267282,1.731196633539095,2.7333333333333334,9
26,8.570450304286561,5.1786620114630475,2.500191883966183,1.83697788154081,3.533333333333333,13
27,8.570450304286561,5.951977012705271,2.500273037789343,1.4195504295277568,2.8333333333333335,7
28,8.570450304286561,5.565804853741839,2.499826388888889,1.6758151179181595,2.2333333333333334,7
29,8.570450304286561,5.838575989700175,2.5269760483064396,1.4230689444621847,2.1333333333333333,7
30,8.570450304286561,5.870846353761757,2.520490762741499,1.4802750005846868,2.5,7
31,8.570450304286561,5.805775635589069,2.500025742119959,1.6222703850150948,2.566666666666667,7
32,8.570450304286561,5.415399422425325,2.499826388888889,1.7303188159063545,2.8333333333333335,13
33,8.576126622984932,6.171385443541963,2.4998938484052773,1.3790868785566623,2.6,13
34,8.576126622984932,5.870218975350213,2.4999626495280167,1.5952703604490646,2.5,10
35,8.576126622984932,5.806162211657719,2.500025742119959,1.635696248268907,2.433333333333333,7
36,8.576126622984932,5.821314994331936,2.5946566109480957,1.6306165388025537,2.6666666666666665,9
37,8.576126622984932,6.054330826633649,2.6962761595820273,1.4952919891357488,2.7,9
38,8.576126622984932,5.80393006161501,2.625176527987347,1.476484947303884,3.033333333333333,13
39,8.576126622984932,6.395846469910608,2.654671253352874,0.8488186145374791,1.8666666666666667,7
40,8.576126622984932,6.37482612305137,3.5366145274441263,0.779997172596302,2.2666666666666666,7
41,8.576126622984932,6.459836194794462,4.951318285882434,0.6230731418262688,2.3,10
42,8.576126622984932,6.511921926598117,4.374828456775168,0.6525892181325025,2.2666666666666666,7
43,8.576126622984932,6.319290979435407,2.500025742119959,1.1957579617691778,2.3333333333333335,7
44,8.576126622984932,6.244625559067727,2.500025742119959,1.165458231187977,2.1333333333333333,7
45,8.576126622984932,5.336694381777065,2.4998319187750093,1.7728688768770857,3.0,13
46,8.576126622984932,5.049644959478401,2.4998319187750093,1.7956722477921774,2.433333333333333,7
47,8.576126622984932,5.951718909481169,2.4998319187750093,1.2572150363029875,2.1666666666666665,7
48,8.576126622984932,5.775971007021468,2.4998300316913187,1.3552475750182107,2.3666666666666667,10
49,8.658253653621959,5.640391088645876,2.4998300316913187,1.6960857429033658,2.6333333333333333,9
