generation,max_fitness,mean_fitness,min_fitness,std_fitness,mean_links,max_links
0,7.151975374540658,4.168804085770797,2.499623101708575,1.7790674442796204,5.366666666666666,10
1,8.532870069573626,4.558672409441136,2.499827398772532,1.8156301385855087,4.8,11
2,8.532870069573626,4.358205902154665,2.4998275650178776,1.7440102816734813,3.3333333333333335,9
3,8.532870069573626,3.949939266289922,2.499826388888889,1.5145805430237254,2.466666666666667,5
4,8.532870069573626,4.092928605106325,2.499826388888889,1.7561613655163526,2.2333333333333334,5
5,8.532870069573626,4.065105185188149,2.499826388888889,1.7568175353212794,2.2,5
6,8.532870069573626,3.9960909238994518,2.499826388888889,1.4973553160664896,2.0,4
7,8.651817048317904,4.0010318897407195,2.4998265240278923,1.6662027154559798,2.566666666666667,5
8,8.651817048317904,4.085667073860929,2.499826388888889,1.6023937165585869,2.7333333333333334,7
9,8.651817048317904,4.33328941731462,0.0,1.9239097874955047,3.2666666666666666,10
10,8.651817048317904,4.702193871621348,0.0,1.9622528396625347,3.8333333333333335,16
11,8.651817048317904,5.450061035087431,2.4998942671722175,1.712063418469234,3.8666666666666667,10
12,8.651817048317904,5.533554305852048,2.635193863310428,1.52545386839405,3.9,13
13,8.72230585693961,5.415005789166346,2.6757114946935046,1.4940189764843639,2.933333333333333,11
14,8.72230585693961,5.2632528431253185,2.50607781189901,1.5522193201738466,2.2333333333333334,6
15,8.72230585693961,5.414479418714736,0.0,1.7060830621836256,2.1333333333333333,6
16,8.72230585693961,5.5362813610192045,2.5002377592499734,1.714361027265094,2.933333333333333,10
17,8.72230585693961,5.8276951327121385,0.0,1.547851751303825,2.2666666666666666,5
18,8.72230585693961,5.869639399230494,2.499826388888889,1.2979366912005037,2.066666666666667,9
19,8.72230585693961,6.150377228418949,3.1212854064963813,0.9939205460952346,2.7333333333333334,13
20,8.72230585693961,6.2241215520096675,2.500782973200577,0.8853666845182712,2.1666666666666665,7
21,8.72230585693961,6.250385425344885,3.858270845458465,0.8202237879176187,2.8,10
22,8.72230585693961,6.250211314441827,3.6990239464596675,0.9700029062413649,2.533333333333333,7
23,8.72230585693961,6.021030248064651,3.3013401869479857,1.116564826693174,2.7666666666666666,10
24,8.72230585693961,6.286126776624716,2.505686021335027,1.1806888519801682,2.6666666666666665,10
25,8.72230585693961,5.963234657234564,3.2897878169527544,1.2347530998713958,2.6333333333333333,6
26,8.72230585693961,6.583114382902127,3.8266782292827934,0.8695531625565612,2.033333333333333,7
27,8.72230585693961,6.146640697382069,0.0,1.4654005729843516,2.9,15
28,8.72230585693961,6.268431283769763,2.5177806772637243,1.182826485284626,2.1666666666666665,5
29,8.72230585693961,6.292369460884043,2.711747386889407,0.9701841518908794,2.0,5
30,8.72230585693961,6.4174512468344735,3.0725863154276483,0.819961668107671,2.0,5
31,8.72230585693961,6.100053108084436,2.499835679197434,1.326691916854491,3.0,13
32,8.72230585693961,5.668722493707649,0.0,1.7619443017576812,3.533333333333333,13
33,8.72230585693961,5.74254229266063,0.0,1.9726829795066059,2.933333333333333,13
34,8.72230585693961,5.687391414285026,0.0,1.6884312681519198,2.1,5
35,8.72230585693961,6.099757920747008,3.427985160697326,1.0073533930798346,2.3,13
36,8.72230585693961,6.208295348598731,3.403881570770354,0.8730036986725972,2.1,10
37,8.72230585693961,5.631887973386018,0.0,1.9139055577240822,4.0,40
38,8.72230585693961,5.925430730435082,2.5068885270358328,1.420299445191528,3.6,15
39,8.72230585693961,5.738918808012162,2.499999240661329,1.6748319331904267,3.966666666666667,22
40,8.72230585693961,5.774828682262945,2.4998423402738066,1.5981148409778787,3.4,13
41,8.72230585693961,5.870254207420421,2.499826388888889,1.580624215666083,3.1666666666666665,13
42,8.72230585693961,5.468655740008331,0.0,1.90505871156183,3.466666666666667,13
43,8.72230585693961,5.947534042216465,0.0,1.9146140630342132,3.3333333333333335,15
44,8.72230585693961,6.410519841132159,2.540227032471453,1.0532982368727957,4.466666666666667,28
45,8.72230585693961,5.940406606411923,2.553793029880782,1.5337637550857817,3.7,28
46,8.72230585693961,5.965484765399607,2.5001125392530312,1.4732071305106296,3.5,16
47,8.72230585693961,5.820556213528077,2.4998396002980154,1.5367367377138004,3.8,16
48,8.72230585693961,5.518254545392081,0.0,1.8420810518986894,3.433333333333333,13
49,8.72230585693961,5.922566477481462,0.0,1.6969777276238744,2.966666666666667,10
